Name,Avatar,Birthday,Seiyu,Director,Storyboard,OriginalCreator,SeriesComposition,EpisodeDirector,AssistantDirector,ScreenPlay,Script,Story,ThemeSonglyrics,Producer,KeyAnimation,ThemeSongPerformance
Hiroki Uchida / Хироки Утида,null,1991-05-27,null,null,null,null,8,null,null,1,4,null,null,null,null,null
Kyouhei Ishiguro / Кёхэй Исигуро,/staff/2.png,1980-04-02,null,8,15,null,null,19,null,null,2,1,null,null,null,null
Akira Amano / Акира Амано,/staff/3.png,1973-06-22,null,null,null,4,null,null,null,null,null,9,null,null,null,null
Eku Takeshima / Эку Такэсима,/staff/4.png,null,null,null,null,2,null,null,null,null,null,10,null,null,null,null
Kenichi Imaizumi / Кэнъити Имаидзуми,null,null,null,10,29,null,null,17,null,null,null,null,null,null,12,null
Norio Fukui / Норио Фукуи,/staff/6.png,null,null,null,null,null,null,null,null,null,null,null,null,30,null,null
Hiro Kaburagi / Хиро Кабураги,/staff/7.png,null,null,15,24,null,1,27,1,null,7,null,null,null,1,null
Akihito Tsukushi / Акихито Цукуси,/staff/8.png,1979-05-05,null,null,null,8,null,null,null,null,null,2,null,null,1,null
Goose house,/staff/9.png,null,null,null,null,null,null,null,null,null,null,null,2,null,null,2
Aki Hamaji / Аки Хамадзи,/staff/10.png,null,null,null,null,3,null,null,null,null,null,6,null,null,null,null
Kazuki Endou / Кадзуки Эндо,/staff/11.png,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null
sing N song,/staff/12.png,null,null,null,null,1,null,null,null,null,null,3,null,null,null,null
Ai Higuchi / Ай Хигути,/staff/13.png,1989-11-28,null,null,null,null,null,null,null,null,null,null,4,null,null,4
Keiichirou Saitou / Кэйитиро Сайто,/staff/14.png,1993-01-18,null,5,8,null,null,9,null,null,null,null,null,null,36,null
Kaito Ishikawa / Кайто Исикава,/staff/15.png,1993-10-13,191,null,null,null,null,null,null,null,null,null,null,null,null,9
Yoshino Aoyama / Ёсино Аояма,/staff/16.png,1996-05-15,49,null,null,null,null,null,null,null,null,null,null,null,null,3
Ikumi Hasegawa / Икуми Хасэгава,/staff/17.png,null,67,null,null,null,null,null,null,null,null,null,null,null,null,12
Rumi Ookubo / Руми Окубо,/staff/18.png,1989-09-27,106,null,null,null,null,null,null,null,null,null,null,null,null,19
Ken Narita / Кэн Нарита,/staff/19.png,1964-05-18,108,null,null,null,null,null,null,null,null,null,null,null,null,1
Neeko,/staff/20.png,1983-10-28,5,null,null,null,null,null,null,null,null,null,null,null,null,null
Hibiku Yamamura / Хибику Ямамура,/staff/21.png,1988-02-10,73,null,null,null,null,null,null,null,null,null,null,null,null,8
Mayu Matsuoka / Маю Мацуока,/staff/22.png,1995-02-16,4,null,null,null,null,null,null,null,null,null,null,null,null,null
Miyu Irino / Мию Ирино,/staff/23.png,1988-02-19,123,null,null,null,null,null,null,null,null,null,null,null,null,10
Shiori Izawa / Сиори Идзава,/staff/24.png,1987-02-01,100,null,null,null,null,null,null,null,null,null,null,null,null,8